"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00205690","1922","46.4121","-86.6625","207.3","MUNISING, MI US","    105.1","","     105.1","6","       160","6","       102","6","         9","6","      156","","        47","6","        34","6","       180","6","        81","6","        86","6","         4","6","","","","","  -30.6","6,0125, ","   787"," ,6,0223, ","   318"," ,6,0223, ","  50.0"," ,6,0906, ","   34.4","6,0607, ","-1.7","6,0917","-3.9","6,1009","-4.4","6,1020","-8.9","6,1113","-8.9","6,1113","0.0","6,0704","-5.0","6,0430","-5.0","6,0430","-8.3","6,0428","-8.9","6,0402","    4847.5","5","    4847.5","6","   1022.4"," ,6","     3053"," ,6","      4.97","6","     10.64","6","     -0.71","6"
"USC00205690","1923","46.4121","-86.6625","207.3","MUNISING, MI US","     74.2","","      74.2","6","       163","6","        85","6","         5","6","","","","","        32","6","       199","6","        86","6","        85","6","         2","6","","","","","  -31.1","6,0204, ","","","","","  38.1"," ,6,1018, ","   35.0","6,0623, ","-1.1","6,0910","-2.8","6,1002","-7.8","6,1006","-7.8","6,1006","-10.0","6,1122","-0.6","6,0628","-3.3","6,0521","-8.9","6,0513","-8.9","6,0513","-8.9","6,0513","    5405.5","5","    5405.5","6","    722.6"," ,6","","","      3.90","6","      9.92","6","     -2.13","6"
"USC00205690","1924","46.4121","-86.6625","207.3","MUNISING, MI US","     42.8","","      42.8","6","       175","6","        89","6","         3","6","","","        54","6","        38","6","       210","6","       105","6","        64","6","         0","6","","","","","  -28.9","6,1228, ","","","   203"," ,6,0329, ","  35.6"," ,6,0822, ","   31.1","6,0711, ","-2.8","6,0911","-2.8","6,0911","-4.4","6,1001","-7.2","6,1115","-10.0","6,1116","-1.1","6,0618","-2.2","6,0608","-6.1","6,0520","-8.3","6,0412","-17.8","6,0402","    5307.2","2","    5307.2","6","    838.6"," ,6","     3816"," ,6","      3.18","6","      8.89","6","     -2.53","6"
"USC00205690","1925","46.4121","-86.6625","207.3","MUNISING, MI US","    125.3","","     125.3","6","       164","6","        77","6","         2","6","","","","","        21","6","       205","6","        98","6","        83","6","         6","6","","","","","  -27.8","6,0228, ","","","","","  44.7"," ,6,0830, ","   33.9","6,0607,+","-0.6","6,0913","-2.8","6,0925","-5.6","6,1023","-8.3","6,1029","-15.6","6,1030","0.0","6,0730","-3.3","6,0526","-5.6","6,0509","-7.8","6,0428","-11.1","6,0405","    5237.3","3","    5237.3","6","    676.3"," ,6","","","      4.31","6","      9.93","6","     -1.32","6"
"USC00205690","1926","46.4121","-86.6625","207.3","MUNISING, MI US","     40.7","","      40.7","6","       182","6","       101","6","         4","6","","","","","        30","6","       212","6","       111","6","        61","6","         2","6","","","","","  -29.4","6,0221, ","","","","","  53.3"," ,6,0709, ","   32.8","6,0720, ","-1.1","6,0913","-4.4","6,0926","-4.4","6,0926","-7.2","6,1110","-10.0","6,1111","-2.2","6,0619","-2.2","6,0619","-5.6","6,0523","-6.7","6,0514","-8.9","6,0504","    5513.5","5","    5513.5","6","    937.9"," ,6","","","      2.90","6","      8.19","6","     -2.39","6"
"USC00205690","1927","46.4121","-86.6625","207.3","MUNISING, MI US","     62.9","","      62.9","6","       170","6","        91","6","         6","6","","","","","        26","6","       187","6","        79","6","        70","6","         4","6","","","","","  -28.9","6,0219, ","","","","","  56.4"," ,6,0521, ","   33.9","6,0630, ","0.0","6,0815","-5.6","6,1018","-5.6","6,1018","-9.4","6,1107","-9.4","6,1107","-1.7","6,0615","-3.9","6,0601","-5.0","6,0430","-6.7","6,0425","-9.4","6,0329","    5207.1","1","    5207.1","6","    887.5"," ,6","","","      4.36","6","     10.06","6","     -1.35","6"
"USC00205690","1928","46.4121","-86.6625","207.3","MUNISING, MI US","","","","","       171","6","        92","6","         2","6","","","","","        29","6","       192","6","        80","6","        54","6","         0","6","","","","","  -36.1","6,0225, ","","","","","  35.8"," ,6,0821, ","   31.7","6,0809,+","-2.2","6,0802","-2.2","6,0802","-5.0","6,1026","-6.7","6,1102","-8.9","6,1103","-1.1","6,0607","-2.8","6,0507","-6.7","6,0427","-6.7","6,0427","-19.4","6,0420","    5154.6","6","    5154.6"," ","    862.2"," ,6","","","      4.01","6","      9.67","6","     -1.64","6"
"USC00205690","1929","46.4121","-86.6625","207.3","MUNISING, MI US","","","","","       161","6","        91","6","         5","6","","","","","        37","6","       194","6","        97","6","        71","6","         5","6","","","","","  -35.0","6,0220,+","","","","","  64.8"," ,6,0610, ","   33.9","6,0727, ","-2.8","6,0919","-2.8","6,0919","-5.0","6,1009","-6.7","6,1114","-13.3","6,1121","-3.3","6,0608","-3.3","6,0608","-5.6","6,0601","-12.8","6,0402","-12.8","6,0402","","","","","    982.6"," ,6","","","      3.77","6","      9.54","6","     -2.01","6"
"USC00205690","1930","46.4121","-86.6625","207.3","MUNISING, MI US","","","","","       153","6","        74","6","         4","6","","","","","        29","6","       184","6","        92","6","        99","6","         5","6","","","","","  -32.8","6,0216, ","","","","","  76.5"," ,6,0505, ","   35.0","6,0802, ","0.0","6,0906","-3.3","6,1017","-5.0","6,1018","-9.4","6,1022","-9.4","6,1022","-0.6","6,0609","-2.2","6,0529","-4.4","6,0526","-7.2","6,0426","-12.2","6,0402","","","","","    792.9"," ,6","","","      5.15","6","     10.91","6","     -0.62","6"
"USC00205690","1931","46.4121","-86.6625","207.3","MUNISING, MI US","","","","","       149","6","        88","6","         4","6","","","        35","6","","","","","","","","","","","","","","","","","","","   254"," ,6,1126, ","  30.2"," ,6,0926, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    832.2"," ,6","     2386"," ,6","","","","","",""
"USC00205690","1932","46.4121","-86.6625","207.3","MUNISING, MI US","","","","","       171","6","        89","6","         6","6","","","","","","","","","","","","","","","","","","","","","","","","","  69.9"," ,6,0715, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    931.1"," ,6","","","","","","","",""
"USC00205690","1933","46.4121","-86.6625","207.3","MUNISING, MI US","","","","","       144","6","        87","6","         1","6","","","","","","","","","","","","","","","","","","","","","","","","","  26.4"," ,6,1012, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    769.9"," ,6","","","","","","","",""
"USC00205690","1934","46.4121","-86.6625","207.3","MUNISING, MI US","     75.2","","      75.2","6","       180","6","        95","6","         4","6","","","","","        28","6","       177","6","        82","6","        85","6","         3","6","","","","","  -30.6","6,0209, ","","","","","  62.2"," ,6,0904, ","   34.4","6,0818,+","-2.2","6,0829","-2.2","6,0829","-7.2","6,1019","-7.2","6,1019","-9.4","6,1102","-1.1","6,0607","-4.4","6,0525","-4.4","6,0525","-7.8","6,0425","-17.8","6,0414","","","","","    884.6"," ,6","","","      4.40","6","     10.03","6","     -1.23","6"
"USC00205690","1935","46.4121","-86.6625","207.3","MUNISING, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4998.1","1","    4998.1"," ","","","","","","","","","",""
"USC00205690","1936","46.4121","-86.6625","207.3","MUNISING, MI US","","","","","       157","6","        80","6","         1","6","","","","","","","","","","","","","","","","","","","","","","","","","  36.6"," ,6,0822, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    659.2"," ,6","","","","","","","",""
"USC00205690","1937","46.4121","-86.6625","207.3","MUNISING, MI US","","","","","       158","6","        81","6","         6","6","","","","","","","","","","","","","","","","","","","","","","","","","  67.8"," ,6,0221, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    847.6"," ,6","","","","","","","",""
"USC00205690","1938","46.4121","-86.6625","207.3","MUNISING, MI US","","","","","       168","6","        91","6","         5","6","","","","","","","","","","","","","","","","","","","","","","","","","  44.5"," ,6,0125, ","","","","","","","","","","","","","","","","","","","","","","","    4736.5","5","    4736.5","6","    990.2"," ,6","","","","","","","",""
"USC00205690","1939","46.4121","-86.6625","207.3","MUNISING, MI US","    118.4","","     118.4","6","       171","6","        85","6","         6","6","","","","","        23","6","       197","6","        75","6","        94","6","         4","6","","","","","  -26.1","6,0318, ","","","","","  69.9"," ,6,0315, ","   35.0","6,0915, ","-2.2","6,0924","-2.2","6,0924","-4.4","6,0930","-6.7","6,1109","-8.9","6,1122","-6.1","6,0613","-6.1","6,0613","-6.1","6,0613","-6.7","6,0512","-11.7","6,0413","","","","","    972.0"," ,6","","","      4.90","6","     10.61","6","     -0.80","6"
"USC00205690","1940","46.4121","-86.6625","207.3","MUNISING, MI US","    121.3","","     121.3","6","       176","6","       102","6","         4","6","","","        53","6","        21","6","       192","6","        89","6","        76","6","         1","6","","","","","  -26.7","6,0226, ","","","   254"," ,6,0404,+","  35.6"," ,6,0624, ","   34.4","6,0723, ","-0.6","6,0926","-3.3","6,1016","-4.4","6,1107","-10.6","6,1112","-10.6","6,1112","-1.7","6,0621","-2.2","6,0518","-4.4","6,0511","-7.8","6,0427","-8.9","6,0416","    5072.7","7","    5072.7","6","    913.5"," ,6","     3869"," ,6","      4.59","6","      9.84","6","     -0.66","6"
"USC00205690","1941","46.4121","-86.6625","207.3","MUNISING, MI US","    162.8","","     162.8","6","       166","6","        92","6","         8","6","","","        38","6","         3","6","       179","6","        78","6","        92","6","         9","6","","","","","  -22.8","6,0227, ","","","   178"," ,6,0104, ","  59.7"," ,6,1005, ","   35.0","6,0723,+","-1.7","6,0929","-2.8","6,1016","-5.6","6,1029","-13.3","6,1124","-13.3","6,1124","-1.7","6,0610","-2.8","6,0609","-6.1","6,0511","-6.7","6,0406","-13.9","6,0402","    4661.2","2","    4661.2","6","   1057.2"," ,6","     2895"," ,6","      6.24","6","     11.68","6","      0.80","6"
"USC00205690","1942","46.4121","-86.6625","207.3","MUNISING, MI US","","","","","       163","6","        87","6","         2","6","","","","","","","","","","","","","","","","","","","","","","","","","  48.8"," ,6,0822, ","","","","","","","","","","","","","","","","","","","","","","","    4504.7","7","    4504.7","6","    777.3"," ,6","","","","","","","",""
"USC00205690","1943","46.4121","-86.6625","207.3","MUNISING, MI US","    101.6","","     101.6","6","       163","6","        92","6","         6","6","","","","","        26","6","       194","6","        83","6","        95","6","         4","6","","","","","  -32.2","6,0308,+","","","","","  47.2"," ,6,0617, ","   33.9","6,0713, ","-2.2","6,0911","-2.2","6,0911","-4.4","6,1025","-6.7","6,1026","-10.6","6,1114","-1.7","6,0608","-6.7","6,0513","-6.7","6,0513","-6.7","6,0513","-12.2","6,0415","","","","","    900.1"," ,6","","","      4.45","6","     10.16","6","     -1.25","6"
"USC00205690","1944","46.4121","-86.6625","207.3","MUNISING, MI US","    151.4","","     151.4","6","       171","6","        89","6","         5","6","","","        42","6","        15","6","       187","6","        71","6","        91","6","         7","6","","","","","  -26.7","6,0319, ","","","   254"," ,6,1129, ","  44.2"," ,6,0904, ","   35.6","6,0809, ","-0.6","6,0929","-2.2","6,1003","-5.6","6,1022","-6.7","6,1106","-13.3","6,1202","-1.1","6,0630","-3.3","6,0519","-7.2","6,0428","-7.2","6,0428","-8.9","6,0414","    4910.6","6","    4910.6","6","    887.2"," ,6","     2640"," ,6","      5.72","6","     11.11","6","      0.34","6"
"USC00205690","1945","46.4121","-86.6625","207.3","MUNISING, MI US","     97.3","","      97.3","6","       157","6","        89","6","         7","6","","","","","        31","6","       192","6","        81","6","        82","6","         7","6","","","","","  -27.8","6,1223, ","","","","","  44.2"," ,6,1108, ","   35.6","6,0724, ","-0.6","6,0913","-2.8","6,1010","-4.4","6,1024","-10.0","6,1104","-10.0","6,1104","-1.1","6,0608","-3.9","6,0603","-5.6","6,0510","-6.7","6,0429","-10.0","6,0415","    4819.7","7","    4819.7","6","    928.6"," ,6","","","      4.62","6","     10.16","6","     -0.93","6"
"USC00205690","1946","46.4121","-86.6625","207.3","MUNISING, MI US","    108.3","","     108.3","6","       154","6","        88","6","         6","6","","","        38","6","        10","6","       177","6","        73","6","        89","6","         3","6","","","","","  -22.8","6,0127, ","","","   191"," ,6,1227, ","  35.6"," ,6,0818, ","   32.8","6,0807, ","0.0","6,0903","-2.2","6,1001","-6.7","6,1020","-6.7","6,1020","-8.9","6,1118","-0.6","6,0614","-3.9","6,0517","-4.4","6,0508","-7.8","6,0412","-9.4","6,0411","    4692.7","7","    4692.7","6","    773.6"," ,6","     2485"," ,6","      5.90","6","     11.58","6","      0.21","6"
"USC00205690","1947","46.4121","-86.6625","207.3","MUNISING, MI US","    260.6","","     260.6","6","       164","6","        83","6","         2","6","","","","","        16","6","       196","6","        93","6","       118","6","        14","6","","","","","  -28.3","6,0205,+","","","","","  32.5"," ,6,0405, ","   39.4","6,0806, ","0.0","6,0923","-3.3","6,0925","-6.1","6,1110","-13.3","6,1113","-13.3","6,1113","-0.6","6,0618","-4.4","6,0613","-4.4","6,0613","-7.2","6,0420","-10.0","6,0419","    4865.9","9","    4865.9","6","    765.9"," ,6","","","      5.52","6","     11.58","6","     -0.54","6"
"USC00205690","1948","46.4121","-86.6625","207.3","MUNISING, MI US","    174.6","","     174.6","0","       135","0","        67","0","         4","0","","","","","        44","0","       178","0","        72","0","       102","0","         9","0","         1"," ","         1"," ","  -32.8","0,0124, ","","","","","  35.6"," ,0,1120, ","   37.2","0,0824, ","-1.7","0,0922","-3.9","0,1003","-8.9","0,1018","-8.9","0,1018","-8.9","0,1018","0.0","0,0616","-3.3","0,0529","-6.1","0,0510","-7.2","6,0417","-10.6","6,0406","    4579.3","3","    4579.3","0","    649.7"," ,0","","","      5.54","0","     12.09","0","     -1.01","0"
"USC00205690","1949","46.4121","-86.6625","207.3","MUNISING, MI US","    177.2","","     177.2","0","       152","0","        92","0","         7","0","      134","","        39","0","        10","0","       176","0","        77","0","       109","0","         9","0","         1"," ","         7"," ","  -22.2","0,0131, ","   432"," ,0,0128, ","   203"," ,0,0128,+","  53.8"," ,0,0729, ","   36.1","0,0808, ","0.0","0,0924","-2.2","0,1024","-6.7","0,1101","-6.7","0,1101","-12.2","0,1122","-3.9","0,0608","-3.9","0,0608","-5.6","0,0510","-7.2","0,0410","-8.9","0,0402","    4386.1","1","    4386.1","0","    938.4"," ,0","     2782"," ,0","      6.33","0","     12.09","0","      0.57","0"
"USC00205690","1950","46.4121","-86.6625","207.3","MUNISING, MI US","     72.8","","      72.8","0","       175","0","       102","0","         2","0","      154","","        55","0","        33","0","       196","0","        93","0","        78","0","         1","0","         3"," ","        12"," ","  -27.2","0,0130, ","   864"," ,0,0309, ","   229"," ,0,1126, ","  25.4"," ,0,0825,+","   32.8","0,0623, ","-0.6","0,0825","-2.2","0,0924","-5.6","0,1026","-11.1","0,1111","-11.1","0,1111","0.0","0,0621","-2.2","0,0519","-6.7","0,0508","-6.7","0,0508","-12.8","0,0415","    4987.9","9","    4987.9","0","    838.1"," ,0","     4350"," ,0","      3.98","0","      9.72","0","     -1.75","0"
"USC00205690","1951","46.4121","-86.6625","207.3","MUNISING, MI US","     69.5","","      69.5","0","       167","0","       107","0","         4","0","","","        52","0","        27","0","       180","0","        83","0","        76","0","         0","0","         5"," ","        20"," ","  -32.2","0,0130, ","","","   178"," ,0,0413, ","  38.1"," ,0,0831, ","   31.1","0,0729,+","-0.6","0,0926","-2.2","0,1031","-8.3","0,1101","-8.3","0,1101","-11.7","0,1102","0.0","0,0607","-6.1","0,0513","-6.1","0,0513","-18.3","0,0326","-18.3","0,0326","    4969.7","7","    4969.7","0","    931.0"," ,0","     2992"," ,0","      4.74","0","     10.01","0","     -0.53","0"
"USC00205690","1952","46.4121","-86.6625","207.3","MUNISING, MI US","    147.7","","     147.7","0","       144","0","        69","0","         4","0","      131","","        37","0","         6","0","       186","0","        65","0","        98","0","         2","0","        13"," ","        19"," ","  -22.8","0,0214, ","   533"," ,0,0123, ","   168"," ,0,0413, ","  54.9"," ,0,0616, ","   33.3","0,0912, ","0.0","0,0907","-3.3","0,1003","-4.4","0,1005","-12.2","0,1128","-12.2","0,1128","-1.1","0,0521","-2.2","0,0507","-6.1","0,0503","-13.3","0,0411","-13.3","0,0411","    4826.0","0","    4826.0","0","    759.9"," ,0","     2370"," ,0","      6.21","0","     11.74","0","      0.69","0"
"USC00205690","1953","46.4121","-86.6625","207.3","MUNISING, MI US","    160.4","","     160.4","0","       161","0","        98","0","         6","0","      115","","        47","0","         4","0","       173","0","        54","0","        99","0","         8","0","        22"," ","         9"," ","  -22.8","0,0130, ","   813"," ,0,0221, ","   269"," ,0,0220, ","  51.8"," ,0,0410, ","   36.7","0,0901, ","-0.6","0,0914","-3.3","0,1025","-7.2","0,1106","-7.2","0,1106","-8.9","0,1107","-1.1","0,0607","-3.3","0,0523","-5.6","0,0514","-6.7","0,0414","-9.4","0,0320","    4502.9","9","    4502.9","0","    912.3"," ,0","     3738"," ,0","      6.60","0","     12.01","0","      1.19","0"
"USC00205690","1954","46.4121","-86.6625","207.3","MUNISING, MI US","     87.8","","      87.8","0","       158","0","        79","0","         4","0","      134","","        36","0","         5","0","       182","0","        66","0","        80","0","         1","0","        19"," ","         6"," ","  -23.9","0,0113, ","   660"," ,0,0117, ","   221"," ,0,0313, ","  53.1"," ,0,0802, ","   32.2","0,0617, ","-1.1","0,0923","-5.0","0,1007","-5.0","0,1007","-6.7","0,1202","-12.8","0,1203","-0.6","0,0606","-3.9","0,0526","-8.3","0,0505","-8.3","0,0505","-10.6","0,0404","    4321.1","1","    4321.1","0","    789.4"," ,0","     2896"," ,0","      5.55","0","     10.77","0","      0.34","0"
"USC00205690","1955","46.4121","-86.6625","207.3","MUNISING, MI US","    251.9","","     251.9","0","       186","0","        91","0","         4","0","      135","","        68","0","        10","0","       172","0","        84","0","       111","0","        14","0","        18"," ","        16"," ","  -23.3","0,0128, ","   559"," ,0,1230,+","   267"," ,0,0322, ","  45.7"," ,0,0803, ","   36.1","0,0821, ","-1.1","0,0926","-2.2","0,1001","-5.6","0,1108","-10.0","0,1116","-10.0","0,1116","-0.6","0,0531","-3.9","0,0520","-6.7","0,0509","-6.7","0,0509","-16.1","0,0329","    4469.6","6","    4469.6","0","    810.3"," ,0","     5097"," ,0","      6.45","0","     12.03","0","      0.87","0"
"USC00205690","1956","46.4121","-86.6625","207.3","MUNISING, MI US","     66.7","","      66.7","0","       154","0","        74","0","         5","0","      133","","        38","0","        14","0","       190","0","        75","0","        77","0","         3","0","        22"," ","        15"," ","  -23.9","0,0121, ","   610"," ,0,0311,+","   208"," ,0,0308, ","  41.1"," ,0,0708, ","   35.6","0,0613, ","0.0","0,0909","-2.8","0,0921","-5.0","0,1116","-7.2","0,1117","-11.7","0,1122","-3.3","0,0602","-3.3","0,0602","-5.6","0,0524","-6.7","0,0508","-11.7","0,0331","    4743.0","0","    4743.0","0","    729.3"," ,0","     3091"," ,0","      5.28","0","     10.70","0","     -0.14","0"
